"slug","title","category","content_format","audience","query_1","query_2","query_3","query_4","query_5","query_6","query_7","query_8","query_9","query_10","canonical_url"
"small-business-task-apps","小さな業務アプリを作りたい人へ。困りごとからWebアプリにする方法","小さな業務改善","legacy","紙、Excel、LINE、手入力で回している作業を、まず1つだけアプリ化して試したい人","小さな業務アプリを作りたい人へ 困りごとからWebアプリにする方法","困りごと アプリ化","業務改善","Excel 作業 自動化","ミニアプリ","小さな業務アプリ 作りたい 方法","小さな業務アプリ 作りたい やり方","小さな業務アプリ 作りたい 手順","小さな業務アプリ 作りたい 始め方","小さな業務アプリ 作りたい 準備","https://aplz.dev/articles/small-business-task-apps"
"neighborhood-duty-roster","町内会の当番表アプリを作るには？自動割り振りと公平さの考え方","町内会","legacy","町内会、自治会、PTA、店舗などで当番表を作る担当者","町内会の当番表アプリを作るには 自動割り振りと公平さの考え方","当番表 自動 割り振り","自治会 当番 割り振り","当番表 アプリ","班長 業務","町内会 当番表 アプリ 方法","町内会 当番表 アプリ やり方","町内会 当番表 アプリ 手順","町内会 当番表 アプリ 始め方","町内会 当番表 アプリ 準備","https://aplz.dev/articles/neighborhood-duty-roster"
"line-message-organizer","学童のお迎え変更連絡を整理する。LINE・口頭・紙メモを見落とさない方法","学校・委員会","legacy","学童、習い事、PTA、少年団などで保護者連絡を整理している人","学童のお迎え変更連絡を整理する LINE・口頭・紙メモを見落とさない方法","LINE 連絡 整理","学童 お迎え 変更","保護者連絡 管理","欠席連絡 整理","学童 お迎え変更 連絡 整理 方法","学童 お迎え変更 連絡 整理 やり方","学童 お迎え変更 連絡 整理 手順","学童 お迎え変更 連絡 整理 始め方","学童 お迎え変更 連絡 整理 準備","https://aplz.dev/articles/line-message-organizer"
"event-reception-queue","小規模イベントの受付番号を整理する。待ち列と呼び出しの作り方","イベント運営","legacy","地域イベント、寺社イベント、ワークショップなどの受付を少人数で回す人","小規模イベントの受付番号を整理する 待ち列と呼び出しの作り方","待ち列 管理","呼び出し 順番","受付 アプリ","イベント 受付 番号札 方法","イベント 受付 番号札 やり方","イベント 受付 番号札 手順","イベント 受付 番号札 始め方","イベント 受付 番号札 準備","イベント 受付 番号札 進め方","https://aplz.dev/articles/event-reception-queue"
"rain-notice-template","雨天連絡文を毎回迷わず作る。中止・延期・場所変更のテンプレート化","文章作成","legacy","少年団、地域活動、習い事、イベントで当日の連絡文を書く係の人","雨天連絡文を毎回迷わず作る 中止・延期・場所変更のテンプレート化","少年団 連絡文","イベント 中止 連絡","LINE 文面 作成","雨天連絡 文例 チェックリスト","雨天連絡 文例 テンプレート","雨天連絡 文例 確認項目","雨天連絡 文例 書き方","雨天連絡 文例 作り方","雨天連絡 文例 抜け漏れ","https://aplz.dev/articles/rain-notice-template"
"kitchen-car-prep-calculator","キッチンカーの仕込み量計算アプリを作る。販売予定数から材料を逆算","個人事業主","legacy","キッチンカー、屋台、マルシェ出店などで前日に仕込み量を決める人","キッチンカーの仕込み量計算アプリを作る 販売予定数から材料を逆算","キッチンカー 仕込み量","屋台 材料 計算","販売予定数 逆算","仕込み アプリ","キッチンカー 仕込み量 計算 アプリ 無料ツール","キッチンカー 仕込み量 計算 アプリ 計算","キッチンカー 仕込み量 計算 アプリ 自動","キッチンカー 仕込み量 計算 アプリ シミュレーション","キッチンカー 仕込み量 計算 アプリ 使い方","https://aplz.dev/articles/kitchen-car-prep-calculator"
"private-lodging-cleaning-checklist","民泊清掃チェックリストの作り方。物件ごとの差分を新人にも伝える","個人事業主","legacy","民泊、レンタルスペース、小規模宿泊施設で清掃チェックを共有したい人","民泊清掃チェックリストの作り方 物件ごとの差分を新人にも伝える","清掃 抜け漏れ 防止","物件別 チェック","スマホ チェックリスト","民泊 清掃 チェックリスト チェックリスト","民泊 清掃 チェックリスト テンプレート","民泊 清掃 チェックリスト 確認項目","民泊 清掃 チェックリスト 書き方","民泊 清掃 チェックリスト 作り方","民泊 清掃 チェックリスト 抜け漏れ","https://aplz.dev/articles/private-lodging-cleaning-checklist"
"privacy-first-pickup-route","個人住所を入れない送迎表の作り方。方面名だけで時間割を組む","予約・申込","legacy","教室、地域送迎、少人数サービスで個人住所を入れずに時間割を組みたい人","個人住所を入れない送迎表の作り方 方面名だけで時間割を組む","住所 入れない アプリ","送迎 時間割","個人情報 配慮","送迎 表 作成 方法","送迎 表 作成 やり方","送迎 表 作成 手順","送迎 表 作成 始め方","送迎 表 作成 準備","送迎 表 作成 進め方","https://aplz.dev/articles/privacy-first-pickup-route"
"workshop-kit-count","ワークショップの材料キット数を数える。予備と細かい備品を忘れない方法","予約・申込","legacy","教室、ワークショップ、手作りイベントで材料キットを準備する人","ワークショップの材料キット数を数える 予備と細かい備品を忘れない方法","参加人数 材料 計算","教室 準備 リスト","予備 キット","ワークショップ 材料 キット 方法","ワークショップ 材料 キット やり方","ワークショップ 材料 キット 手順","ワークショップ 材料 キット 始め方","ワークショップ 材料 キット 準備","ワークショップ 材料 キット 進め方","https://aplz.dev/articles/workshop-kit-count"
"salon-towel-laundry","サロンのタオル洗濯枚数を決める。予約数から不足を防ぐ計算","個人事業主","legacy","整体院、美容室、個人サロンなどで備品在庫を前日に確認する人","サロンのタオル洗濯枚数を決める 予約数から不足を防ぐ計算","整体院 タオル 在庫","予約数 タオル 計算","小規模店舗 業務改善","サロン タオル 洗濯 無料ツール","サロン タオル 洗濯 計算","サロン タオル 洗濯 自動","サロン タオル 洗濯 シミュレーション","サロン タオル 洗濯 使い方","サロン タオル 洗濯 入力項目","https://aplz.dev/articles/salon-towel-laundry"
"日常の小さな不便は-誰のために続いているのか-a001","日常の小さな不便は、誰のために続いているのか","暮らす","F01 検索回答記事","中学生・高校生・高専生","日常の小さな不便は 誰のために続いているのか","日常の小さな不便 なぜ","日常の小さな不便 誰のため","日常の小さな不便 続く理由","日常の小さな不便 役割","日常の小さな不便 必要な理由","日常の小さな不便 負担している人","日常の小さな不便 見直す基準","日常の小さな不便 なくならない理由","日常の小さな不便 関係者","https://aplz.dev/articles/日常の小さな不便は-誰のために続いているのか-a001"
"なぜ日常の小さな不便は-少しだけ面倒なまま残るのか-a002","なぜ日常の小さな不便は、少しだけ面倒なまま残るのか","暮らす","F02 手順・ハウツー","大学生","なぜ日常の小さな不便は 少しだけ面倒なまま残るのか","日常の小さな不便 方法","日常の小さな不便 面倒なまま残る理由","日常の小さな不便 変わらない原因","日常の小さな不便 改善しにくい理由","日常の小さな不便 不便が残る","日常の小さな不便 面倒を減らす方法","日常の小さな不便 変える手順","日常の小さな不便 最初の一歩","日常の小さな不便 対処法","https://aplz.dev/articles/なぜ日常の小さな不便は-少しだけ面倒なまま残るのか-a002"
"日常の小さな不便を一人で抱えないための小さな表-a003","日常の小さな不便を一人で抱えないための小さな表","暮らす","F03 解説・仕組み","教員・学校職員","日常の小さな不便を一人で抱えないための小さな表","日常の小さな不便 チェックリスト","日常の小さな不便 一人で抱えない方法","日常の小さな不便 共有方法","日常の小さな不便 分担の決め方","日常の小さな不便 見える化","日常の小さな不便 小さな表","日常の小さな不便 担当者の負担","日常の小さな不便 属人化を防ぐ","日常の小さな不便 相談の仕方","https://aplz.dev/articles/日常の小さな不便を一人で抱えないための小さな表-a003"
"日常の小さな不便で最初に迷う場所を見取り図にする-a004","日常の小さな不便で最初に迷う場所を見取り図にする","暮らす","F04 比較・選択・判断","保護者・PTA","日常の小さな不便で最初に迷う場所を見取り図にする","日常の小さな不便 仕組み","日常の小さな不便 迷う場所","日常の小さな不便 見取り図","日常の小さな不便 流れを整理","日常の小さな不便 手順を可視化","日常の小さな不便 最初に確認すること","日常の小さな不便 判断基準","日常の小さな不便 困る場面","日常の小さな不便 選び方","https://aplz.dev/articles/日常の小さな不便で最初に迷う場所を見取り図にする-a004"
"日常の小さな不便の失敗例を先に並べてみる-a005","日常の小さな不便の失敗例を先に並べてみる","暮らす","F05 チェックリスト・テンプレート","町内会・自治会関係者","日常の小さな不便の失敗例を先に並べてみる","日常の小さな不便 失敗","日常の小さな不便 失敗例","日常の小さな不便 よくある失敗","日常の小さな不便 注意点","日常の小さな不便 やってはいけないこと","日常の小さな不便 失敗を防ぐ","日常の小さな不便 トラブル例","日常の小さな不便 改善例","日常の小さな不便 確認項目","https://aplz.dev/articles/日常の小さな不便の失敗例を先に並べてみる-a005"
"家-家族-共同生活は-誰のために続いているのか-a006","家・家族・共同生活は、誰のために続いているのか","暮らす","F06 無料ツール・計算機","地域イベント運営者","家・家族・共同生活は 誰のために続いているのか","家・家族・共同生活 なぜ","家・家族・共同生活 誰のため","家・家族・共同生活 続く理由","家・家族・共同生活 役割","家・家族・共同生活 必要な理由","家・家族・共同生活 負担している人","家・家族・共同生活 見直す基準","家・家族・共同生活 なくならない理由","家・家族・共同生活 関係者","https://aplz.dev/articles/家-家族-共同生活は-誰のために続いているのか-a006"
"なぜ家-家族-共同生活は-少しだけ面倒なまま残るのか-a007","なぜ家・家族・共同生活は、少しだけ面倒なまま残るのか","暮らす","F07 図鑑・データベース","個人事業主","なぜ家・家族・共同生活は 少しだけ面倒なまま残るのか","家・家族・共同生活 方法","家・家族・共同生活 面倒なまま残る理由","家・家族・共同生活 変わらない原因","家・家族・共同生活 改善しにくい理由","家・家族・共同生活 不便が残る","家・家族・共同生活 面倒を減らす方法","家・家族・共同生活 変える手順","家・家族・共同生活 最初の一歩","家・家族・共同生活 対処法","https://aplz.dev/articles/なぜ家-家族-共同生活は-少しだけ面倒なまま残るのか-a007"
"家-家族-共同生活を一人で抱えないための小さな表-a008","家・家族・共同生活を一人で抱えないための小さな表","暮らす","F09 密着・一日・現場ルポ","副業を始めたい人","家・家族・共同生活を一人で抱えないための小さな表","家・家族・共同生活 チェックリスト","家・家族・共同生活 一人で抱えない方法","家・家族・共同生活 共有方法","家・家族・共同生活 分担の決め方","家・家族・共同生活 見える化","家・家族・共同生活 小さな表","家・家族・共同生活 担当者の負担","家・家族・共同生活 属人化を防ぐ","家・家族・共同生活 相談の仕方","https://aplz.dev/articles/家-家族-共同生活を一人で抱えないための小さな表-a008"
