"type","name","count"
"world","P01 日常の小さな不便","5"
"world","P02 家・家族・共同生活","5"
"world","P03 片付け・整理・所有","5"
"world","P04 時間・習慣・注意力","5"
"world","P05 連絡・会話・人間関係","5"
"world","P06 食事・料理・小さな食文化","5"
"world","P07 買い物・消費・選択","5"
"world","P08 移動・交通・待ち時間","5"
"world","P09 学校生活","5"
"world","P10 教えること・学ぶこと","5"
"world","P11 子ども・若者の視点","5"
"world","P12 学生プロジェクト・部活動","5"
"world","P13 記憶・理解・考える技術","5"
"world","P14 小さな仕事・名もない作業","5"
"world","P15 働き方・時間・疲労","5"
"world","P16 チーム・組織・会議","5"
"world","P17 引き継ぎ・属人化・記録","5"
"world","P18 接客・顧客対応","5"
"world","P19 採用・教育・働き始め","5"
"world","P20 失敗・中止・やり直し","5"
"world","P21 個人事業・小さな商売","5"
"world","P22 店舗・商店・地域の店","5"
"world","P23 飲食店・キッチンカー・屋台","5"
"world","P24 サロン・教室・予約型事業","5"
"world","P25 民泊・宿・観光","5"
"world","P26 お金・価格・会計","5"
"world","P27 販売・広報・マーケティング","5"
"world","P28 町内会・自治会・PTA","5"
"world","P29 地域イベント・祭り・ボランティア","5"
"world","P30 田舎・地方・小さな町","5"
"world","P31 公共・福祉・支え合い","5"
"world","P32 環境・修理・再利用","5"
"world","P33 身近なテクノロジー","5"
"world","P34 AIと人間","5"
"world","P35 Excel・紙・LINEなどの道具文化","5"
"world","P36 アプリ・Web・ノーコード","5"
"world","P37 デザイン・UI・情報設計","5"
"world","P38 創作・ものづくり・表現","5"
"world","P39 人物・職業・生き方","5"
"world","P40 APLZ・小さな開発・制作記録","5"
"format","F01 検索回答記事","12"
"format","F02 手順・ハウツー","12"
"format","F03 解説・仕組み","11"
"format","F04 比較・選択・判断","11"
"format","F05 チェックリスト・テンプレート","11"
"format","F06 無料ツール・計算機","11"
"format","F07 図鑑・データベース","11"
"format","F09 密着・一日・現場ルポ","11"
"format","F10 制作ドキュメンタリー","11"
"format","F11 エッセー・論考・問題提起","11"
"format","F12 データ記事・白書","11"
"format","F13 実験・検証・対決","11"
"format","F14 ビジュアル解説","11"
"format","F15 診断・クイズ","11"
"format","F16 投稿・Q&A・相談","11"
"format","F17 歴史・文化・由来","11"
"format","F18 ニュース・トレンド分析","11"
"format","F03 解説・仕組み","11"
"audience","中学生・高校生・高専生","10"
"audience","大学生","10"
"audience","教員・学校職員","10"
"audience","保護者・PTA","10"
"audience","町内会・自治会関係者","10"
"audience","地域イベント運営者","10"
"audience","個人事業主","10"
"audience","副業を始めたい人","10"
"audience","小規模店舗の店主","10"
"audience","飲食店・キッチンカー運営者","10"
"audience","サロン・教室運営者","10"
"audience","民泊・観光関係者","10"
"audience","フリーランス・クリエイター","10"
"audience","エンジニア・開発者","10"
"audience","技術に詳しくない事務担当者","10"
"audience","チームやプロジェクトの責任者","10"
"audience","NPO・ボランティア関係者","10"
"audience","地方・田舎で暮らす人","10"
"audience","家族や共同生活を運営する人","10"
"audience","特定の目的なく面白い記事を読みたい一般読者","10"
