"article_id","title","slug","status","editorial_world","secondary_world","content_format","audience","primary_keyword","search_intent","social_hook","article_promise","unique_angle","original_artifact","source_count","primary_source_count","aplz_mentioned","aplz_primary_topic","aplz_cta","internal_links","word_count","quality_score","freshness","publication_priority"
"A001","日常の小さな不便は、誰のために続いているのか","日常の小さな不便は-誰のために続いているのか-a001","published","P01","効率化は常に正しいのか","F01 検索回答記事","中学生・高校生・高専生","日常の小さな不便 なぜ","日常の小さな不便について、自分の生活や仕事に引き寄せて理解したい","「日常の小さな不便って、そういう見方があったのか」と人に送りたくなる","日常の小さな不便を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","観察メモ","4","1","true","false","true","related hub; related article","900","86","2026-06","P1"
"A002","なぜ日常の小さな不便は、少しだけ面倒なまま残るのか","なぜ日常の小さな不便は-少しだけ面倒なまま残るのか-a002","published","P01","不便には価値があるのか","F02 手順・ハウツー","大学生","日常の小さな不便 方法","日常の小さな不便について、自分の生活や仕事に引き寄せて理解したい","「日常の小さな不便って、そういう見方があったのか」と人に送りたくなる","日常の小さな不便を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","判断チャート","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A003","日常の小さな不便を一人で抱えないための小さな表","日常の小さな不便を一人で抱えないための小さな表-a003","published","P01","誰にも評価されない仕事とは何か","F03 解説・仕組み","教員・学校職員","日常の小さな不便 チェックリスト","日常の小さな不便について、自分の生活や仕事に引き寄せて理解したい","「日常の小さな不便って、そういう見方があったのか」と人に送りたくなる","日常の小さな不便を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","チェックリスト","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A004","日常の小さな不便で最初に迷う場所を見取り図にする","日常の小さな不便で最初に迷う場所を見取り図にする-a004","published","P01","道具が人の行動をどう変えるか","F04 比較・選択・判断","保護者・PTA","日常の小さな不便 仕組み","日常の小さな不便について、自分の生活や仕事に引き寄せて理解したい","「日常の小さな不便って、そういう見方があったのか」と人に送りたくなる","日常の小さな不便を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","会話台本","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A005","日常の小さな不便の失敗例を先に並べてみる","日常の小さな不便の失敗例を先に並べてみる-a005","published","P01","人はなぜ古い方法を使い続けるのか","F05 チェックリスト・テンプレート","町内会・自治会関係者","日常の小さな不便 失敗","日常の小さな不便について、自分の生活や仕事に引き寄せて理解したい","「日常の小さな不便って、そういう見方があったのか」と人に送りたくなる","日常の小さな不便を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","観察メモ","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A006","家・家族・共同生活は、誰のために続いているのか","家-家族-共同生活は-誰のために続いているのか-a006","published","P02","小さいことへ時間を使う意味","F06 無料ツール・計算機","地域イベント運営者","家・家族・共同生活 なぜ","家・家族・共同生活について、自分の生活や仕事に引き寄せて理解したい","「家・家族・共同生活って、そういう見方があったのか」と人に送りたくなる","家・家族・共同生活を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","判断チャート","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A007","なぜ家・家族・共同生活は、少しだけ面倒なまま残るのか","なぜ家-家族-共同生活は-少しだけ面倒なまま残るのか-a007","published","P02","地域とテクノロジーの距離","F07 図鑑・データベース","個人事業主","家・家族・共同生活 方法","家・家族・共同生活について、自分の生活や仕事に引き寄せて理解したい","「家・家族・共同生活って、そういう見方があったのか」と人に送りたくなる","家・家族・共同生活を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","チェックリスト","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A008","家・家族・共同生活を一人で抱えないための小さな表","家-家族-共同生活を一人で抱えないための小さな表-a008","published","P02","人に頼ることと仕組みに頼ること","F09 密着・一日・現場ルポ","副業を始めたい人","家・家族・共同生活 チェックリスト","家・家族・共同生活について、自分の生活や仕事に引き寄せて理解したい","「家・家族・共同生活って、そういう見方があったのか」と人に送りたくなる","家・家族・共同生活を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","会話台本","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A009","家・家族・共同生活で最初に迷う場所を見取り図にする","家-家族-共同生活で最初に迷う場所を見取り図にする-a009","published","P02","記録することと忘れること","F10 制作ドキュメンタリー","小規模店舗の店主","家・家族・共同生活 仕組み","家・家族・共同生活について、自分の生活や仕事に引き寄せて理解したい","「家・家族・共同生活って、そういう見方があったのか」と人に送りたくなる","家・家族・共同生活を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","観察メモ","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A010","家・家族・共同生活の失敗例を先に並べてみる","家-家族-共同生活の失敗例を先に並べてみる-a010","published","P02","便利さとプライバシー","F11 エッセー・論考・問題提起","飲食店・キッチンカー運営者","家・家族・共同生活 失敗","家・家族・共同生活について、自分の生活や仕事に引き寄せて理解したい","「家・家族・共同生活って、そういう見方があったのか」と人に送りたくなる","家・家族・共同生活を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","判断チャート","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
